timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1775665420755,403,JFED/complete/search-144,200,OK,JFED50 1-1,text,true,,16091,281,1,2,https://www.google.com/complete/search?client=firefox&channel=ftr&q=,403,0,194
1775665421162,282,JFED/update/3/GMP/149.0/20260325145817/Linux_x86_64-gcc3/en-US/release-cck-fedora/Linux%25206.19.10-200.fc43.x86_64%2520(GTK%25203.24.52%252Clibpulse%252017.0.0)/fedora/1.0/update.xml-145,200,OK,JFED50 1-1,text,true,,1970,459,1,2,https://aus5.mozilla.org/update/3/GMP/149.0/20260325145817/Linux_x86_64-gcc3/en-US/release-cck-fedora/Linux%25206.19.10-200.fc43.x86_64%2520(GTK%25203.24.52%252Clibpulse%252017.0.0)/fedora/1.0/update.xml,282,0,154
1775665421445,333,JFED/g/chains/202402/aus.content-signature.mozilla.org-2026-05-16-09-42-02.chain-146,200,OK,JFED50 1-1,text,true,,5809,332,1,2,https://content-signature-2.cdn.mozilla.net/g/chains/202402/aus.content-signature.mozilla.org-2026-05-16-09-42-02.chain,333,0,224
1775665421779,560,JFED/-148,400,Bad Request,JFED50 1-1,text,false,,229,1547,1,2,https://mozilla-ohttp.fastly-edge.com/,560,0,151
1775665422741,257,JFED/complete/search-144,200,OK,JFED50 1-2,text,true,,1278,281,2,3,https://www.google.com/complete/search?client=firefox&channel=ftr&q=,257,0,141
1775665423001,363,JFED/update/3/GMP/149.0/20260325145817/Linux_x86_64-gcc3/en-US/release-cck-fedora/Linux%25206.19.10-200.fc43.x86_64%2520(GTK%25203.24.52%252Clibpulse%252017.0.0)/fedora/1.0/update.xml-145,200,OK,JFED50 1-2,text,true,,1970,459,2,3,https://aus5.mozilla.org/update/3/GMP/149.0/20260325145817/Linux_x86_64-gcc3/en-US/release-cck-fedora/Linux%25206.19.10-200.fc43.x86_64%2520(GTK%25203.24.52%252Clibpulse%252017.0.0)/fedora/1.0/update.xml,363,0,94
1775665423366,391,JFED/g/chains/202402/aus.content-signature.mozilla.org-2026-05-16-09-42-02.chain-146,200,OK,JFED50 1-2,text,true,,5809,332,2,3,https://content-signature-2.cdn.mozilla.net/g/chains/202402/aus.content-signature.mozilla.org-2026-05-16-09-42-02.chain,386,0,289
1775665422341,1716,JFED/-149,200,OK,JFED50 1-1,text,false,"The operation lasted too long: It took 1,716 milliseconds, but should not have lasted longer than 600 milliseconds.",2486,442,2,3,https://jfed.ilabt.imec.be/,1716,0,1363
1775665423759,465,JFED/-148,400,Bad Request,JFED50 1-2,text,false,,229,1547,2,3,https://mozilla-ohttp.fastly-edge.com/,465,0,164
1775665424060,595,JFED/submit/firefox-desktop/newtab/1/7eaf7968-18c6-4240-af2d-e536a198970e-150,200,OK,JFED50 1-1,text,true,,781,4069,2,3,https://incoming.telemetry.mozilla.org/submit/firefox-desktop/newtab/1/7eaf7968-18c6-4240-af2d-e536a198970e,595,0,218
1775665424656,304,JFED/-155,400,Bad Request,JFED50 1-1,text,false,,229,1301,3,4,https://mozilla-ohttp.fastly-edge.com/,304,0,0
1775665424740,303,JFED/complete/search-144,200,OK,JFED50 1-3,text,true,,9328,281,3,4,https://www.google.com/complete/search?client=firefox&channel=ftr&q=,303,0,166
1775665424966,245,JFED/j/collect?v=1&_v=j102&a=680972634&t=pageview&_s=1&dl=https%3A%2F%2Fjfed.ilabt.imec.be%2F&ul=en-us&dt=jFed&sr=1493x933&vp=1493x825&_u=IEBAAEABAAAAACAAI~&jid=2017552000&gjid=1960718617&cid=1217445905.1775665163&tid=UA-57217745-2&_gid=417259628.1775665163&_r=1&_slc=1&z=1753482569-165,200,OK,JFED50 1-1,text,true,,921,748,3,4,https://www.google-analytics.com/j/collect?v=1&_v=j102&a=680972634&t=pageview&_s=1&dl=https%3A%2F%2Fjfed.ilabt.imec.be%2F&ul=en-us&dt=jFed&sr=1493x933&vp=1493x825&_u=IEBAAEABAAAAACAAI~&jid=2017552000&gjid=1960718617&cid=1217445905.1775665163&tid=UA-57217745-2&_gid=417259628.1775665163&_r=1&_slc=1&z=1753482569,245,0,154
1775665425045,223,JFED/update/3/GMP/149.0/20260325145817/Linux_x86_64-gcc3/en-US/release-cck-fedora/Linux%25206.19.10-200.fc43.x86_64%2520(GTK%25203.24.52%252Clibpulse%252017.0.0)/fedora/1.0/update.xml-145,200,OK,JFED50 1-3,text,true,,1970,459,3,4,https://aus5.mozilla.org/update/3/GMP/149.0/20260325145817/Linux_x86_64-gcc3/en-US/release-cck-fedora/Linux%25206.19.10-200.fc43.x86_64%2520(GTK%25203.24.52%252Clibpulse%252017.0.0)/fedora/1.0/update.xml,223,0,103
1775665424226,1450,JFED/-149,200,OK,JFED50 1-2,text,false,"The operation lasted too long: It took 1,450 milliseconds, but should not have lasted longer than 600 milliseconds.",2486,442,3,4,https://jfed.ilabt.imec.be/,1450,0,1061
1775665425271,583,JFED/g/chains/202402/aus.content-signature.mozilla.org-2026-05-16-09-42-02.chain-146,200,OK,JFED50 1-3,text,true,,5809,332,3,5,https://content-signature-2.cdn.mozilla.net/g/chains/202402/aus.content-signature.mozilla.org-2026-05-16-09-42-02.chain,583,0,377
